codigo_departamento,codigo_dpto_mpio,codigo_centro_poblado,nombre_departamento,nombre_municipio,nombre_centro_poblado,nombre_tipo_ctro_pbdo,longitud,latitud,nombre_distrito,tipo_municipio,nombre_area_metro
"05","05038","05038000","ANTIOQUIA","ANGOSTURA","ANGOSTURA","CABECERA MUNICIPAL","-75.3351159651","6.88517459133","","MUNICIPIO","",
"05","05038","05038008","ANTIOQUIA","ANGOSTURA","LLANOS DE CUIBA","CENTRO POBLADO","-75.487458974","6.81297496702","","MUNICIPIO","",
"05","05040","05040000","ANTIOQUIA","ANORI","ANORI","CABECERA MUNICIPAL","-75.1483484246","7.07470766852","","MUNICIPIO","",
"05","05040","05040002","ANTIOQUIA","ANORI","LIBERIA","CENTRO POBLADO","-74.998853178","7.381643021","","MUNICIPIO","",
"05","05040","05040003","ANTIOQUIA","ANORI","MONTEFRIO","CENTRO POBLADO","-75.143351483","6.952197947","","MUNICIPIO","",
"05","05042","05042000","ANTIOQUIA","SANTA FE DE ANTIOQUIA","SANTA FE DE ANTIOQUIA","CABECERA MUNICIPAL","-75.827079071","6.55653329637","","MUNICIPIO","",
"05","05042","05042002","ANTIOQUIA","SANTA FE DE ANTIOQUIA","LAURELES","CENTRO POBLADO","-75.9479747296","6.49091896584","","MUNICIPIO","",
"05","05042","05042006","ANTIOQUIA","SANTA FE DE ANTIOQUIA","EL PESCADO","CENTRO POBLADO","-75.9098292008","6.49507830062","","MUNICIPIO","",
"05","05042","05042007","ANTIOQUIA","SANTA FE DE ANTIOQUIA","SABANAS","CENTRO POBLADO","-75.9123590719","6.46126331415","","MUNICIPIO","",
"05","05042","05042008","ANTIOQUIA","SANTA FE DE ANTIOQUIA","KILOMETRO 2","CENTRO POBLADO","-75.8464408919","6.56042104939","","MUNICIPIO","",
"05","05042","05042009","ANTIOQUIA","SANTA FE DE ANTIOQUIA","PASO REAL","CENTRO POBLADO","-75.8182159051","6.51518608397","","MUNICIPIO","",
"05","05044","05044000","ANTIOQUIA","ANZA","ANZA","CABECERA MUNICIPAL","-75.8544415828","6.3026583592","","MUNICIPIO","",
"05","05044","05044001","ANTIOQUIA","ANZA","GUINTAR","CENTRO POBLADO","-75.9561321651","6.30209016393","","MUNICIPIO","",
"05","05044","05044005","ANTIOQUIA","ANZA","LA CEJITA","CENTRO POBLADO","-75.9109909549","6.32675681847","","MUNICIPIO","",
"05","05044","05044006","ANTIOQUIA","ANZA","LA HIGUINA","CENTRO POBLADO","-75.8514093234","6.36751006824","","MUNICIPIO","",
"05","05045","05045000","ANTIOQUIA","APARTADO","APARTADO","CABECERA MUNICIPAL","-76.6259606537","7.88341740579","","MUNICIPIO","",
"05","05045","05045001","ANTIOQUIA","APARTADO","SAN JOSE DE APARTADO","CENTRO POBLADO","-76.5624447274","7.88380306836","","MUNICIPIO","",
"05","05045","05045002","ANTIOQUIA","APARTADO","CHURIDO","CENTRO POBLADO","-76.6688374609","7.86456501666","","MUNICIPIO","",
"05","05045","05045003","ANTIOQUIA","APARTADO","ZUNGO CARRETERA","CENTRO POBLADO","-76.6489650436","7.82373642979","","MUNICIPIO","",
"05","05045","05045007","ANTIOQUIA","APARTADO","LOS NARANJALES","CENTRO POBLADO","-76.713230006","7.819320744","","MUNICIPIO","",
"05","05045","05045008","ANTIOQUIA","APARTADO","VIJAGUAL","CENTRO POBLADO","-76.6583873189","7.79008479438","","MUNICIPIO","",
"05","05045","05045009","ANTIOQUIA","APARTADO","EL REPOSO","CENTRO POBLADO","-76.6538557646","7.79943327672","","MUNICIPIO","",
"05","05045","05045010","ANTIOQUIA","APARTADO","BAJO DEL OSO","CENTRO POBLADO","-76.6252999865","7.91005909925","","MUNICIPIO","",
"05","05045","05045011","ANTIOQUIA","APARTADO","EL SALVADOR","CENTRO POBLADO","-76.6487459634","7.87770732234","","MUNICIPIO","",
"05","05045","05045014","ANTIOQUIA","APARTADO","PUERTO GIRON","CENTRO POBLADO","-76.7370825341","7.90564023451","","MUNICIPIO","",
"05","05045","05045015","ANTIOQUIA","APARTADO","LOMA VERDE","CENTRO POBLADO","-76.6436072471","7.82398630552","","MUNICIPIO","",
"05","05045","05045016","ANTIOQUIA","APARTADO","SAN PABLO","CENTRO POBLADO","-76.7147019715","7.89786526177","","MUNICIPIO","",
"05","05051","05051000","ANTIOQUIA","ARBOLETES","ARBOLETES","CABECERA MUNICIPAL","-76.4270567981","8.85056773431","","MUNICIPIO","",
"05","05051","05051001","ANTIOQUIA","ARBOLETES","BUENOS AIRES","CENTRO POBLADO","-76.2826475194","8.61124579646","","MUNICIPIO","",
"05","05051","05051003","ANTIOQUIA","ARBOLETES","EL CARMELO","CENTRO POBLADO","-76.3817990637","8.61641933089","","MUNICIPIO","",
"05","05051","05051005","ANTIOQUIA","ARBOLETES","LAS NARANJITAS","CENTRO POBLADO","-76.3334527372","8.52928773564","","MUNICIPIO","",
"05","05051","05051008","ANTIOQUIA","ARBOLETES","EL YESO","CENTRO POBLADO","-76.4764786931","8.61627732614","","MUNICIPIO","",
"05","05051","05051009","ANTIOQUIA","ARBOLETES","LA TRINIDAD","CENTRO POBLADO","-76.5089266876","8.62477646626","","MUNICIPIO","",
"05","05051","05051010","ANTIOQUIA","ARBOLETES","LAS PLATAS (SANTAFE)","CENTRO POBLADO","-76.4404874624","8.58092238106","","MUNICIPIO","",
"05","05051","05051011","ANTIOQUIA","ARBOLETES","LA CANDELARIA","CENTRO POBLADO","-76.4502320512","8.65652686292","","MUNICIPIO","",
"05","05051","05051014","ANTIOQUIA","ARBOLETES","EL GUADUAL","CENTRO POBLADO","-76.3845354677","8.48673633641","","MUNICIPIO","",
"05","05055","05055000","ANTIOQUIA","ARGELIA","ARGELIA","CABECERA MUNICIPAL","-75.1417414563","5.7306718788","","MUNICIPIO","",
